match,seat,deals_a,final_a,place_a,win_a,deals_b,final_b,place_b,win_b
157,1,11,73,3,0,12,77,2,0
158,2,10,25,1,1,12,35,1,1
159,3,13,83,3,0,12,61,1,1
160,0,12,82,3,0,14,119,4,0
161,1,15,116,4,0,13,111,4,0
162,2,12,87,2,0,11,67,2,0
163,3,13,81,2,0,9,66,3,0
164,0,13,85,2,0,11,48,1,1
165,1,11,105,4,0,11,96,3,0
166,2,11,72,3,0,10,29,1,1
167,3,13,48,1,1,8,6,1,1
168,0,12,36,1,1,9,21,1,1
169,1,13,63,1,1,10,51,1,1
170,2,12,44,1,1,13,77,2,0
171,3,10,34,1,1,9,32,1,1
172,0,10,71,1,1,11,84,3,0
173,1,11,62,2,0,12,81,1,1
174,2,9,51,3,0,9,30,1,1
175,3,7,26,1,1,13,116,3,0
176,0,10,54,2.5,0,11,75,3,0
177,1,11,74,3,0,11,29,1,1
178,2,10,59,2,0,9,15,1,1
179,3,11,98,3,0,12,71,2.5,0
180,0,12,53,1,1,13,47,1,1
181,1,13,91,3,0,14,89,3,0
182,2,13,66,1,1,7,36,2,0
183,3,10,118,4,0,10,93,3,0
184,0,13,90,3,0,10,68,3,0
185,1,8,15,1,1,13,67,1,1
186,2,12,54,1,1,12,50,1,1
187,3,11,30,1,1,11,88,3,0
188,0,8,17,1,1,10,62,1,1
189,1,13,52,1,1,12,62,2,0
190,2,10,55,1,1,11,89,3,0
191,3,10,93,3,0,9,69,2,0
192,0,11,61,2,0,8,61,3,0
193,1,11,67,1,1,15,103,4,0
194,2,11,106,4,0,9,73,3,0
195,3,10,77,3,0,10,76,2,0
196,0,11,23,1,1,7,9,1,1
197,1,10,54,2,0,15,112,4,0
198,2,5,52,1,1,11,65,1,1
199,3,11,83,3,0,8,86,3,0
