run_time,mode,deals,model,arch,role,games,avg_pts,win_pct,clean_pct,disaster_pct,qs_eaten_pct,moons_shot,moons_conceded,entropy,solo_diff_mean,solo_diff_p,qs_pass_rate,qs_pass_n,qs_dump_rate,qs_dump_n,duck_rate,duck_n,duck4_rate,duck4_n,slough_rate,slough_n,bleed_rate,bleed_n,lead_safe_rate,lead_safe_n,moon_def_rate,moon_def_n,ak_punished_rate,ak_punished_n,control_rate,control_n,forced_win_rate,forced_win_n
2026-07-11T11:19:48,argmax,2000,hearts_model_milestone_1783789723.pth,v4,newer,16000,6.5481,30.43,21.56,24.48,23.85,45,126,0.6113,-0.2735,0.049209,99.07,3000,48.36,5314,75.78,64478,74.16,25318,29.65,24503,52.59,12556,66.57,19111,62.52,627,26.25,3726,25.2,208000,67.18,27900
2026-07-11T11:19:48,argmax,2000,hearts_model_milestone_1783634180.pth,v3,older,16000,6.6892,31.43,22.08,26.69,26.15,28,93,0.7055,0.5615,0.999067,100.0,3000,85.47,2457,75.43,61457,74.79,24728,54.44,18831,52.63,14109,71.36,18344,74.9,773,34.42,3992,24.8,208000,68.88,27007
2026-07-11T17:42:19,argmax,2000,hearts_model_milestone_1783815437.pth,v4,newer,16000,6.4633,30.44,20.56,24.25,23.61,37,116,0.5807,-0.39,0.00911,99.93,3000,54.43,4749,73.72,64068,72.43,25067,36.02,22309,65.52,9959,67.67,19128,52.92,771,27.12,3543,25.04,208000,64.86,29585
2026-07-11T17:42:19,argmax,2000,hearts_model_milestone_1783634180.pth,v3,older,16000,6.7642,31.05,21.52,26.88,26.39,33,94,0.7074,0.7055,0.999947,100.0,3000,87.08,2383,75.65,60970,74.83,24638,53.97,18293,51.03,14250,70.99,18445,75.5,800,34.57,4142,24.96,208000,69.13,27023
2026-07-11T19:48:40,argmax,2000,hearts_model_milestone_1783819975.pth,v4,newer,16000,7.2386,28.55,20.32,28.93,28.04,73,186,0.5881,2.7465,1.0,98.2,3000,71.04,3111,79.01,61620,78.32,24308,37.73,24021,59.38,12320,68.7,21172,62.73,754,25.8,3202,25.86,208000,67.44,28043
2026-07-11T19:48:40,argmax,2000,hearts_model_milestone_1783669232.pth,v3,older,16000,6.2196,34.71,25.58,23.12,21.96,68,237,0.5525,-1.8975,0.0,75.27,3000,96.68,2923,74.51,56203,74.52,21251,63.87,28591,64.09,11066,67.23,18586,55.78,1047,18.43,3049,24.14,208000,60.67,28017
2026-07-12T08:16:58,argmax,2000,hearts_model_milestone_1783863188.pth,v4,newer,16000,7.0104,28.76,19.41,27.99,27.46,39,105,0.5903,2.1375,1.0,98.0,3000,75.19,2886,79.63,58050,77.44,23302,50.11,20386,66.62,10595,70.61,19853,59.58,851,25.55,3413,25.58,208000,65.03,30654
2026-07-12T08:16:58,argmax,2000,hearts_model_milestone_1783669232.pth,v3,older,16000,6.3146,33.39,24.62,23.49,22.54,61,195,0.5552,-1.261,0.0,75.27,3000,97.1,2862,74.45,55310,74.33,20988,62.63,27699,64.4,10969,66.72,18746,55.85,1051,18.03,3261,24.42,208000,59.53,28762
2026-07-23T20:17:27,argmax,2000,current_baseline_1784674184.pth,v5,newer,16000,6.1806,34.94,26.29,23.28,22.12,58,215,0.4022,-1.683,0.0,78.8,3000,96.18,2986,78.07,57694,77.51,21387,79.63,25650,59.34,11528,67.27,17181,50.86,987,16.14,2981,23.89,208000,64.91,25697
2026-07-23T20:17:27,argmax,2000,hearts_model_milestone_1783863188.pth,v4,older,16000,7.1867,27.88,18.89,28.43,27.88,55,124,0.5932,2.6025,1.0,98.0,3000,78.48,2802,80.06,57679,77.88,23071,52.47,19652,65.19,11068,70.52,20388,62.29,830,26.34,3417,26.11,208000,65.3,29222
